Bits,MoE Average Bit,Self-Attention Average Bit,Average Bit
moe.shared_2.other_2+other_block.4,2.0,4.0,2.0673245199615478
moe.shared_4.other_2+other_block.4,2.0606060606060606,4.0,2.1258904435990766
moe.shared_4.top30_4.other_2+other_block.4,2.9696969696969697,4.0,3.0043792981620094
moe.shared_4.top25_4.other_2+other_block.4+startlayer_5,3.037037037037037,4.0,3.0694525466481526
moe.shared_4.top25_4.other_2+other_block.4+dejavu_5,3.037037037037037,4.0,3.0694525466481526
moe.shared_4.other_2+other_block.4+alpha30,2.6427235316124205,4.0,2.68841252495707
moe.shared_4.other_2+other_block.4+alpha40,2.8365132809577256,4.0,2.875678873378304
moe.shared_4.other_2+other_block.4+alpha50,3.0303030303030303,4.0,3.0629452217995383
moe.shared_4.other_2+other_block.4+alpha55,3.1275720164609053,4.0,3.1569399140573005
moe.shared_4.other_2+other_block.4+alpha60,3.2244668911335577,4.0,3.2505730882679176
moe.shared_4.other_2+other_block.4+alpha70,3.418256640478863,4.0,3.437839436689152
